title,url,matching_questions,similarity,date
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Trump and Harris agree to Fox News debate?,0.4869897961616516,2024-10-01
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Will RFK Jr. debate Biden/Trump?,0.4334867596626282,2024-10-01
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Will there be another debate?,0.4217592477798462,2024-10-01
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump positive favorability on March 1?,0.4953663945198059,2025-01-24
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Trump sanction Russia before March?,0.4506239891052246,2025-01-24
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump positive favorability on February 1?,0.4163892865180969,2025-01-24
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump cryptocurrency executive order in first week?,0.41226866841316223,2025-01-24
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Donald Trump issue 100 or more executive orders in his first week?,0.41108155250549316,2025-01-24
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Trump sign a bill into law in his first week?,0.4017358422279358,2025-01-24
"Donald Trump Vlog: Message to Jordanian People - February 12, 2025",https://player.vimeo.com/video/1056201939,Trump positive favorability on March 1?,0.4033552408218384,2025-02-12
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Will Donald Trump win the popular vote in the 2024 Presidential Election?,0.4557344615459442,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Trump eligible to vote in the election?,0.44690942764282227,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,"Will Trump say ""women's sports"" during Virginia rally on Nov 2?",0.43741241097450256,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Trump claims victory before AP calls the election?,0.4115445911884308,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Will Donald Trump win the 2024 US Presidential Election?,0.410339891910553,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Trump wins Pennsylvania but loses the Election?,0.4029027819633484,2024-11-03
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Winning candidate also wins popular vote?,0.4019876718521118,2024-11-03
"Interview: Andrew Schulz of the Flagrant Podcast Interviews Donald Trump - October 9, 2024",https://player.vimeo.com/video/1019815820,Donald & Melania Trump divorce before election?,0.4330425262451172,2024-10-09
"Interview: Andrew Schulz of the Flagrant Podcast Interviews Donald Trump - October 9, 2024",https://player.vimeo.com/video/1019815820,Trump nominates Elon Musk to Cabinet?,0.4196278154850006,2024-10-09
"Interview: Andrew Schulz of the Flagrant Podcast Interviews Donald Trump - October 9, 2024",https://player.vimeo.com/video/1019815820,Trump nominates RFK Jr. to Cabinet?,0.41296452283859253,2024-10-09
"Interview: Andrew Schulz of the Flagrant Podcast Interviews Donald Trump - October 9, 2024",https://player.vimeo.com/video/1019815820,Will Trump tweet 15-19 times October 4-11?,0.405607134103775,2024-10-09
"Interview: Ben Domenech of The Spectator Interviews Donald Trump - February 27, 2025",https://player.vimeo.com/video/1062620238,Will Trump post 100-119 times on Truth Feb 21-28?,0.4197346568107605,2025-02-27
