title,url,matching_questions,similarity,yes_price,upload_date,condition_id,end_date
"Putin will delay Ukraine ceasefire until key goal achieved, says Gen. Keane",https://www.youtube.com/watch?v=ZWVjLeTLVQw,Russia x Ukraine Ceasefire by Friday?,0.6519861817359924,0.0095,2025-03-14T13:45:03Z,0x59bd72d9ab07a7f368a80b7a1a2a01f150f8869085554bad06559f396db7875b,2025-03-14T00:00:00Z
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Russia x Ukraine Ceasefire by Friday?,0.6184306144714355,0.0205,2025-03-13T15:30:05Z,0x59bd72d9ab07a7f368a80b7a1a2a01f150f8869085554bad06559f396db7875b,2025-03-14T00:00:00Z
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Russia x Ukraine Ceasefire by Friday?,0.7051097750663757,0.085,2025-03-12T13:45:00Z,0x59bd72d9ab07a7f368a80b7a1a2a01f150f8869085554bad06559f396db7875b,2025-03-14T00:00:00Z
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6759804487228394,0.585,2025-03-12T10:00:17Z,0x23fad1cb330e5b6cb4d958b2ed324dde2a7974da962e78fbff0ffb0d05a6ea42,2025-03-12T00:00:00Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% steel tariff in effect before May?,0.6103355288505554,0.959,2025-03-11T14:27:38Z,0x5f47c8f01161b40b3ac055b775671889e154cf084c39d0db67c47398486706eb,2025-04-30T00:00:00Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6041029691696167,0.375,2025-03-11T14:27:38Z,0x23fad1cb330e5b6cb4d958b2ed324dde2a7974da962e78fbff0ffb0d05a6ea42,2025-03-12T00:00:00Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% aluminum tariff in effect before May?,0.6038544178009033,0.9585,2025-03-11T14:27:38Z,0xdc520c94194c57a5ba6e7d292ed9fa742125cef05b57cfb377f12ef61541b6e3,2025-04-30T00:00:00Z
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.6255674362182617,0.9605,2025-03-06T17:39:16Z,0xbf0a984d921100c4c9bc9b84075d9b3179cdb77f33f9ada3791d425e9eac69da,2025-03-14T00:00:00Z
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump announces cutting all military aid to Ukraine aid before April?,0.6209406852722168,0.998,2025-03-06T12:45:09Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump admin announces cutting Ukraine aid by Friday?,0.6017986536026001,0.998,2025-03-06T12:45:09Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump admin announces cutting Ukraine aid by Friday?,0.6124439239501953,0.994,2025-03-05T16:15:02Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump announces cutting all military aid to Ukraine aid before April?,0.6115344166755676,0.994,2025-03-05T16:15:02Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump announces cutting all military aid to Ukraine aid before April?,0.7031689882278442,0.63,2025-03-04T22:30:03Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump admin announces cutting Ukraine aid by Friday?,0.6584839224815369,0.885,2025-03-04T22:30:03Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
'REALLY SET HIM OFF': VP Vance explains Zelenskyy clash,https://www.youtube.com/watch?v=T0RHvRh2OD0,Will Zelenskyy apologize to Trump by Friday?,0.6218019127845764,0.145,2025-03-04T21:00:21Z,0x787f7abbf4d5e6fd7545253442e1833c11e837b4f96fa99c3e411889104b999d,2025-03-07T00:00:00Z
Karoline Leavitt sends message to Dems planning to disrupt Trump address,https://www.youtube.com/watch?v=FxH-hLkiiWI,Will Trump's joint address to Congress be 80 min or more?,0.6020898818969727,0.32,2025-03-04T15:30:06Z,0x71ea693fbb162922fd59003cba9eef22b631432d02ead9db49879dcdc62df399,2025-03-04T00:00:00Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 80 min or more?,0.6213580369949341,0.32,2025-03-04T14:01:06Z,0x71ea693fbb162922fd59003cba9eef22b631432d02ead9db49879dcdc62df399,2025-03-04T00:00:00Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 50-60 min?,0.6099863052368164,0.13,2025-03-04T14:01:06Z,0xc7a1cba0d7f5c97c08761af26cf3951d47ca3030060ea10fbc57ce47f7bb41bf,2025-03-04T00:00:00Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 70-80 min?,0.6073720455169678,0.295,2025-03-04T14:01:06Z,0x8bfb199d012368d3fea3ff101687f7952d732e557f57ad7b23ca6d6707444495,2025-03-04T00:00:00Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 60-70 min?,0.6069666147232056,0.175,2025-03-04T14:01:06Z,0x611cb4039143b2f5c5874385da3e4f5f54e27c74d6f5fedd30c6dabd762f2fe7,2025-03-04T00:00:00Z
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump announces cutting all military aid to Ukraine aid before April?,0.6406593918800354,0.63,2025-03-04T13:15:04Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump admin announces cutting Ukraine aid by Friday?,0.6217791438102722,0.885,2025-03-04T13:15:04Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump announces cutting all military aid to Ukraine aid before April?,0.7236361503601074,0.63,2025-03-04T12:00:43Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump admin announces cutting Ukraine aid by Friday?,0.6732124090194702,0.885,2025-03-04T12:00:43Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump announces cutting all military aid to Ukraine aid before April?,0.691548228263855,0.63,2025-03-04T10:30:22Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump admin announces cutting Ukraine aid by Friday?,0.6569727659225464,0.885,2025-03-04T10:30:22Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump announces cutting all military aid to Ukraine aid before April?,0.691548228263855,0.63,2025-03-04T02:00:16Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump admin announces cutting Ukraine aid by Friday?,0.6569727659225464,0.885,2025-03-04T02:00:16Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
Peter Doocy: This is quite a disconnect,https://www.youtube.com/watch?v=9etIqvF-eeI,Will Zelenskyy apologize to Trump by Friday?,0.6571702361106873,0.145,2025-03-04T01:15:00Z,0x787f7abbf4d5e6fd7545253442e1833c11e837b4f96fa99c3e411889104b999d,2025-03-07T00:00:00Z
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump announces cutting all military aid to Ukraine aid before April?,0.6989537477493286,0.63,2025-03-04T00:11:12Z,0xb642dea896e5fa052a9259ad7ba4b759caebb7b1b452d90a5b4c82f8065db1a2,2025-03-31T00:00:00Z
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump admin announces cutting Ukraine aid by Friday?,0.6352744698524475,0.885,2025-03-04T00:11:12Z,0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,2025-03-07T00:00:00Z
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Trump tariffs on Mexico in effect by May 1?,0.6478410959243774,0.62,2025-03-03T01:30:04Z,0x9474fb4fbfc92a5e072ba877c0e66b82d80cb47a382732db74ab1981a8dc0b77,2025-05-01T00:00:00Z
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Will Trump increase tariffs on China before May?,0.6088088154792786,0.8,2025-03-03T01:30:04Z,0x35eec56326ab99a70ba4ba7ef5a52e7812611c7aaff0e9b71277d787c5bf859d,2025-04-30T00:00:00Z
