condition_id,question,description,end_date
0x3724888af3107c46ac749a7d1eff85d685fc5518db4983f354d21a15b4998559,Will Trump pardon Diddy in his first 100 days?,"This market will resolve to ""Yes"" if Sean John Combs (Diddy), receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether Combs is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0x452ed4a3bc0e84654e05e485bdb28058237f1185d3f6103e9fb548789eb2ce46,Will Jan van Aken be the next Chancellor of Germany?,"German Federal elections to elect the 21st Bundestag are scheduled to take place February 23, 2025.

This market will resolve to ""Yes"" if Jan van Aken is the next Chancellor of Germany following the election. Otherwise, this market will resolve to ""No.""

Any interim/caretaker Chancellor will not count toward the resolution of this market. If no next Chancellor of Germany is announced by June 30, of 2025, 11:59 PM ET this market will resolve to ""No.""

The primary resolution source for this market will be official information from the Government of Germany, however a consensus of credible reporting will also be used.",2025-02-23T00:00:00Z
0x003cbafa0f05f6b5aae1b50144107d8f3478cef8f28488c78746d5dda182489f,Will Trump privatize USPS in first 100 days?,"This market will resolve to ""Yes"" if Donald Trump signs any federal legislation or performs any executive action that has the effect of privatizing the United States Postal Service (USPS) by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Partial privatization measures, such as outsourcing significant USPS operations, or establishing a framework for privatization, will qualify, as long as they are broadly reported as privatization by a consensus of credible reporting. 

The legislation or action does not need to be binding or enforced in all states for this market to resolve to ""Yes"".

Any bill signed into law or executive action taken within this market's time frame will qualify, regardless of when the law or action goes into effect.

This market's primary resolution source will be official information from the Trump administration, however a consensus of credible reporting may also be used.
",2025-04-29T00:00:00Z
0x73b046b7970a1780f1d7a0cacf73413325911dd87cdc5b63cfdc27496110fb1b,Will Turkey leave NATO by June 30?,"This market will resolve to ""Yes"" if Turkey formally withdraws from NATO or provides an official notice of denunciation to the United States government by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A notice of denunciation refers to the submission of a notice of withdrawal as per Article 13 of the North Atlantic Treaty.

Turkey's exit from NATO’s integrated military command structure will not be sufficient to resolve this market to ""Yes"". Turkey must either withdraw or submit a notice of denunciation to trigger a ""Yes"" resolution.

The resolution source will be official information from the Turkish government and NATO, however a consensus of credible reporting may also be used.",2025-06-30T00:00:00Z
0x59e0def959f480e5719ab31951c228891a6e0ff939d5df52220847b653e075b2,"Will the number of federal employees decrease by 100,000-200,000 between December and June?","This market will resolve based on the seasonally adjusted number of federal employees, as reported by the U.S. Bureau of Labor Statistics (BLS) under the ""All Employees, Federal"" series (CES9091000001), displayed here (https://fred.stlouisfed.org/series/CES9091000001) 

This market will resolve to “Yes” if the seasonally adjusted number of federal employees decreases by between 100,000 (inclusive) and 200,000 (exclusive) between the December 2024 report and the June 2025 report. Otherwise, it will resolve to ""No"".

The difference will be calculated as the December 2024 value minus the June 2025 value. 

The December 2024 figure will be based on the initial December 2024 BLS Employment Situation report scheduled for release on January 3, 2025, and the initial June 2025 figure will be based on the report scheduled for release on July 3, 2025. Revisions made to these figures will not be considered, only the values reported in the initial reports will be used. 

The resolution source will be the BLS Employment Situation data, specifically the series CES9091000001, available at https://fred.stlouisfed.org/series/CES9091000001 or the official BLS website.",2025-07-03T00:00:00Z
0xd17e65dbb48341946ae13b339629f2045377b72212e8619ee9f46e32000a4c4b,Will Trump pardon Steve Bannon in his first 100 days?,"This market will resolve to ""Yes"" if Steve Bannon receives a presidential pardon, commutation, or reprieve from Donald Trump by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

If it becomes impossible for Trump issue a federal pardon, commutation, or reprieve within this market's timeframe, it may immediately resolve to ""No"".

The primary resolution source for whether Steve Bannon is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.
",2025-04-29T00:00:00Z
0x857097a67011bfcbca1f794193530841efa71fdb70394d32796ec433c6dcb76e,"Will the number of federal employees decrease by 200,000 or more between December and June?","This market will resolve based on the seasonally adjusted number of federal employees, as reported by the U.S. Bureau of Labor Statistics (BLS) under the ""All Employees, Federal"" series (CES9091000001), displayed here (https://fred.stlouisfed.org/series/CES9091000001) 

This market will resolve to “Yes” if the seasonally adjusted number of federal employees decreases by 200,000 or more between the December 2024 report and the June 2025 report. Otherwise, it will resolve to ""No"".

The difference will be calculated as the December 2024 value minus the June 2025 value. 

The December 2024 figure will be based on the initial December 2024 BLS Employment Situation report scheduled for release on January 3, 2025, and the initial June 2025 figure will be based on the report scheduled for release on July 3, 2025. Revisions made to these figures will not be considered, only the values reported in the initial reports will be used. 

The resolution source will be the BLS Employment Situation data, specifically the series CES9091000001, available at https://fred.stlouisfed.org/series/CES9091000001 or the official BLS website.",2025-07-03T00:00:00Z
0x5dbbf4cbb4cbca7c5967bfe92c0bd1667ac508fecb1e548c01def1a8cb43ea53,Fed decreases interest rates by 50+ bps after March 2025 meeting?,"The FED interest rates are defined in this market by the upper bound of the target federal funds range. The decisions on the target federal fund range are made by the Federal Open Market Committee (FOMC) meetings.

This market will resolve to “Yes” if following the Federal Reserve's March 2025 meeting the upper bound of the target federal funds rate is decreased by 26 or more basis points below the level it was prior to the meeting. Otherwise, it will resolve to “No”.

The resolution source for this market is the FOMC’s statement after its meeting scheduled for March 18 - 19, 2025 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm.

The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.

This market may resolve as soon as the FOMC’s statement for their March meeting with relevant data is issued. If no statement is released by the end date of the next scheduled meeting, this market will resolve to the ""No change"" bracket.",2025-03-20T00:00:00Z
0x805d5d29303a29387e9b541f5c7405bcea69f8ef56137ce174356cb0e548d3ee,Trump ends taxes on tips in first 100 days?,"This market will resolve to ""Yes"" if Donald Trump signs any federal legislation or performs any executive action that explicitly eliminates federal income taxes on tips earned by workers in the United States by April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Legislation which includes specific exceptions where federal income tax on tips remains applicable for specified groups (whether by income or type of worker, etc) will still qualify, as long as the primary outcome of the law is the removal of federal income tax on tips.

Any bill signed into law or executive action taken within this market's time frame will qualify, regardless of when the law or action goes into effect.

If it becomes impossible for Trump to sign legislation/perform executive actions (e.g. he resigns), this market will resolve to ""No"".

This market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used.",2025-04-29T00:00:00Z
0xb9b57eff8e0a14b212185554587d9bab1cc80a5c7a43300d4835d02a4005d22a,Will the U.S. recognize Syrian government by March 31?,"This market will resolve to ""Yes"" if the United States formally recognizes any new government as the legitimate governing authority of the majority of the territory known as Syria, by March 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Only formal recognition of a government as the country's legitimate authority/government will qualify. Statements/actions which acknowledge a new Syrian government, but do not formally recognize the authority of the government will not qualify.

The primary resolution source for this market will be official information from the recognizing government, however a consensus of credible reporting will also be used.
",2025-03-31T00:00:00Z
