title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d
Hear what Canada's new prime minister said about Trump after being sworn in,https://www.youtube.com/watch?v=Zs9NLI0Zdzg,Trump speaks to Carney by Friday?,0.4663393497467041,0.185,-1,-1,-1
Toronto Mike' says Trump's words have realigned Canadian politics,https://www.youtube.com/watch?v=FKzR6nVJ7-k,Trump speaks to Carney by Friday?,0.4664625227451324,0.185,-1,-1,-1
Watch Putin's remarks about possible ceasefire deal with Ukraine,https://www.youtube.com/watch?v=V0gSZ6_Vg8g,Russia x Ukraine Ceasefire by Friday?,0.6983194351196289,0.0205,-1,-1,-1
Watch Putin's remarks about possible ceasefire deal with Ukraine,https://www.youtube.com/watch?v=V0gSZ6_Vg8g,Will Trump cut Ukraine off from Starlink?,0.4496465623378753,0.0035,1,-1,-1
Canadian officials announce over $20 billion in retaliatory tariffs on US goods,https://www.youtube.com/watch?v=bbdy_rYg5O8,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.4000265002250671,0.585,-1,-1,-1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be less than 47.0% on March 14?,0.4256711602210998,0.0325,-1,-1,-1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 47.5% and 47.9% on March 14?,0.4128181934356689,0.565,1,1,1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 48.5% and 48.9% on March 14?,0.4125548303127289,0.007,-1,-1,-1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 47.0% and 47.4% on March 14?,0.4036779403686523,0.215,-1,1,-1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be 49.0% or higher on March 14?,0.4026496708393097,0.0035,1,0,-1
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 48.0% and 48.4% on March 14?,0.4021142125129699,0.155,-1,-1,-1
Trump imposes sweeping 25% steel and aluminum tariffs. Europe immediately retaliates,https://www.youtube.com/watch?v=TqZzTcdCnqc,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.447542279958725,0.585,-1,-1,-1
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,Russia x Ukraine Ceasefire by Friday?,0.7126490473747253,0.085,-1,-1,-1
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,Will Trump cut Ukraine off from Starlink?,0.4848314523696899,0.011,-1,-1,-1
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4583018720149994,0.485,-1,-1,-1
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,"Will Trump say ""Saudi Arabia"" during his presser with Ireland PM?",0.4940281212329864,0.515,-1,-1,-1
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,Will Trump cut Ukraine off from Starlink?,0.4834781885147095,0.0365,-1,-1,-1
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4541967511177063,0.525,-1,-1,-1
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,25% aluminum tariff in effect before May?,0.55195152759552,0.9585,1,1,1
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,25% steel tariff in effect before May?,0.535670280456543,0.959,0,0,0
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.5082818269729614,0.375,1,-1,-1
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,25% steel tariff in effect before May?,0.4256132543087005,0.959,0,0,0
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,Will Trump's approval rating be less than 47.0% on March 14?,0.4152906835079193,0.0435,-1,1,-1
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,Will Trump's approval rating be 49.0% or higher on March 14?,0.4011522233486175,0.0065,-1,-1,-1
Moscow hit by massive' Ukrainian drone attack,https://www.youtube.com/watch?v=a0nfBJm8qAA,Will Trump cut Ukraine off from Starlink?,0.4228639006614685,0.0365,-1,-1,-1
Moscow hit by massive' Ukrainian drone attack,https://www.youtube.com/watch?v=a0nfBJm8qAA,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4049506187438965,0.525,-1,-1,-1
Ontario premier threatens to shut off electricity completely' for US if trade war escalates,https://www.youtube.com/watch?v=qcqeGG0D-Gc,25% aluminum tariff in effect before May?,0.4495486617088318,0.9595,-1,1,1
Ontario premier threatens to shut off electricity completely' for US if trade war escalates,https://www.youtube.com/watch?v=qcqeGG0D-Gc,25% steel tariff in effect before May?,0.4398891925811767,0.963,-1,-1,-1
