title,url,matching_questions,similarity
Hear what Canada's new prime minister said about Trump after being sworn in,https://www.youtube.com/watch?v=Zs9NLI0Zdzg,Trump speaks to Carney by Friday?,0.4663393497467041
Toronto Mike' says Trump's words have realigned Canadian politics,https://www.youtube.com/watch?v=FKzR6nVJ7-k,Trump speaks to Carney by Friday?,0.46646252274513245
Watch Putin's remarks about possible ceasefire deal with Ukraine,https://www.youtube.com/watch?v=V0gSZ6_Vg8g,Russia x Ukraine Ceasefire by Friday?,0.6983194351196289
Watch Putin's remarks about possible ceasefire deal with Ukraine,https://www.youtube.com/watch?v=V0gSZ6_Vg8g,Will Trump cut Ukraine off from Starlink?,0.44964656233787537
Canadian officials announce over $20 billion in retaliatory tariffs on US goods,https://www.youtube.com/watch?v=bbdy_rYg5O8,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.40002650022506714
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be less than 47.0% on March 14?,0.42567116022109985
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 47.5% and 47.9% on March 14?,0.41281819343566895
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 48.5% and 48.9% on March 14?,0.4125548303127289
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 47.0% and 47.4% on March 14?,0.40367794036865234
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be 49.0% or higher on March 14?,0.4026496708393097
New CNN poll shows what Americans think about Trump's handling of the economy,https://www.youtube.com/watch?v=93oGb1lxcfQ,Will Trump's approval rating be between 48.0% and 48.4% on March 14?,0.40211421251296997
Trump imposes sweeping 25% steel and aluminum tariffs. Europe immediately retaliates,https://www.youtube.com/watch?v=TqZzTcdCnqc,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.447542279958725
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,Russia x Ukraine Ceasefire by Friday?,0.7126490473747253
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,Will Trump cut Ukraine off from Starlink?,0.48483145236968994
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4583018720149994
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,"Will Trump say ""Saudi Arabia"" during his presser with Ireland PM?",0.49402812123298645
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,Will Trump cut Ukraine off from Starlink?,0.4834781885147095
Ukraine agrees to proposal for 30-day ceasefire,https://www.youtube.com/watch?v=kiK0Hs-84Gc,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4541967511177063
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,25% aluminum tariff in effect before May?,0.55195152759552
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,25% steel tariff in effect before May?,0.535670280456543
'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,https://www.youtube.com/watch?v=rO5A6pg1XXo,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.5082818269729614
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,25% steel tariff in effect before May?,0.42561325430870056
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,Will Trump's approval rating be less than 47.0% on March 14?,0.4152906835079193
Trump threatens dramatic increase on tariffs to Canada,https://www.youtube.com/watch?v=NM90yJMVxp4,Will Trump's approval rating be 49.0% or higher on March 14?,0.40115222334861755
Moscow hit by massive' Ukrainian drone attack,https://www.youtube.com/watch?v=a0nfBJm8qAA,Will Trump cut Ukraine off from Starlink?,0.4228639006614685
Moscow hit by massive' Ukrainian drone attack,https://www.youtube.com/watch?v=a0nfBJm8qAA,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4049506187438965
Ontario premier threatens to shut off electricity completely' for US if trade war escalates,https://www.youtube.com/watch?v=qcqeGG0D-Gc,25% aluminum tariff in effect before May?,0.4495486617088318
Ontario premier threatens to shut off electricity completely' for US if trade war escalates,https://www.youtube.com/watch?v=qcqeGG0D-Gc,25% steel tariff in effect before May?,0.43988919258117676
GOP lawmaker says the Trump admin. committing 'terrible mistake' in Russia-Ukraine negotiations,https://www.youtube.com/watch?v=ucU7DkreuZE,Will Trump cut Ukraine off from Starlink?,0.44782471656799316
"Trump won't rule out recession, warns of period of transition'",https://www.youtube.com/watch?v=bA3cVMD7ZMw,25% aluminum tariff in effect before May?,0.42432254552841187
"Trump won't rule out recession, warns of period of transition'",https://www.youtube.com/watch?v=bA3cVMD7ZMw,25% steel tariff in effect before May?,0.40073254704475403
Bolton has theory on why Trump threatened Russia with sanctions,https://www.youtube.com/watch?v=-Smj-BPxhEI,Will Trump cut Ukraine off from Starlink?,0.4632504880428314
"Trump threatens new tariffs on Canada, including 250% tax on dairy",https://www.youtube.com/watch?v=4ePhjGHP6l8,25% aluminum tariff in effect before May?,0.41587281227111816
"Trump threatens new tariffs on Canada, including 250% tax on dairy",https://www.youtube.com/watch?v=4ePhjGHP6l8,25% steel tariff in effect before May?,0.41233792901039124
